Ticker,Date,Instrument,Total Debt,Total Assets,Leverage
DANO.PA,2024-09-30,DANO.PA,15600000000,44486000000.0,0.3506721215663355
DANO.PA,2024-12-31,DANO.PA,15600000000,44486000000.0,0.3506721215663355
RKT.L,2022-03-31,RKT.L,9563000000,26946000000.0,0.3548949751354561
RKT.L,2022-06-30,RKT.L,9563000000,26946000000.0,0.3548949751354561
RKT.L,2022-09-30,RKT.L,9563000000,26946000000.0,0.3548949751354561
RKT.L,2022-12-31,RKT.L,9563000000,26946000000.0,0.3548949751354561
RKT.L,2023-03-31,RKT.L,8884000000,28742000000.0,0.30909470461345767
RKT.L,2023-06-30,RKT.L,8884000000,28742000000.0,0.30909470461345767
RKT.L,2023-09-30,RKT.L,8884000000,28742000000.0,0.30909470461345767
RKT.L,2023-12-31,RKT.L,8884000000,28742000000.0,0.30909470461345767
RKT.L,2024-03-31,RKT.L,8537000000,27136000000.0,0.31460053066037735
RKT.L,2024-06-30,RKT.L,8537000000,27136000000.0,0.31460053066037735
RKT.L,2024-09-30,RKT.L,8537000000,27136000000.0,0.31460053066037735
RKT.L,2024-12-31,RKT.L,8537000000,27136000000.0,0.31460053066037735
TSCO.L,2022-03-31,TSCO.L,15670000000,45512000000.0,0.34430479873439973
TSCO.L,2022-06-30,TSCO.L,15357000000,49351000000.0,0.31117910478004496
TSCO.L,2022-09-30,TSCO.L,15357000000,49351000000.0,0.31117910478004496
TSCO.L,2022-12-31,TSCO.L,15357000000,49351000000.0,0.31117910478004496
TSCO.L,2023-03-31,TSCO.L,15357000000,49351000000.0,0.31117910478004496
TSCO.L,2023-06-30,TSCO.L,15078000000,45868000000.0,0.32872590913054855
TSCO.L,2023-09-30,TSCO.L,15078000000,45868000000.0,0.32872590913054855
TSCO.L,2023-12-31,TSCO.L,15078000000,45868000000.0,0.32872590913054855
TSCO.L,2024-03-31,TSCO.L,15078000000,45868000000.0,0.32872590913054855
TSCO.L,2024-06-30,TSCO.L,14841000000,47039000000.0,0.315504156125768
TSCO.L,2024-09-30,TSCO.L,14841000000,47039000000.0,0.315504156125768
TSCO.L,2024-12-31,TSCO.L,14841000000,47039000000.0,0.315504156125768
AD.AS,2022-03-31,AD.AS,17089000000,45712000000.0,0.37384056702835144
AD.AS,2022-06-30,AD.AS,17089000000,45712000000.0,0.37384056702835144
AD.AS,2022-09-30,AD.AS,17089000000,45712000000.0,0.37384056702835144
AD.AS,2022-12-31,AD.AS,17089000000,45712000000.0,0.37384056702835144
AD.AS,2023-03-31,AD.AS,17640000000,48555000000.0,0.3632993512511585
AD.AS,2023-06-30,AD.AS,17640000000,48555000000.0,0.3632993512511585
AD.AS,2023-09-30,AD.AS,17640000000,48555000000.0,0.3632993512511585
AD.AS,2023-12-31,AD.AS,17640000000,48555000000.0,0.3632993512511585
AD.AS,2024-03-31,AD.AS,17767000000,47821000000.0,0.37153133560569623
AD.AS,2024-06-30,AD.AS,17767000000,47821000000.0,0.37153133560569623
AD.AS,2024-09-30,AD.AS,17767000000,47821000000.0,0.37153133560569623
AD.AS,2024-12-31,AD.AS,17767000000,47821000000.0,0.37153133560569623
IMB.L,2022-03-31,IMB.L,10073000000,29090000000.0,0.34627019594362324
IMB.L,2022-06-30,IMB.L,10073000000,29090000000.0,0.34627019594362324
IMB.L,2022-09-30,IMB.L,10073000000,29090000000.0,0.34627019594362324
IMB.L,2022-12-31,IMB.L,10255000000,30958000000.0,0.3312552490470961
IMB.L,2023-03-31,IMB.L,10255000000,30958000000.0,0.3312552490470961
IMB.L,2023-06-30,IMB.L,10255000000,30958000000.0,0.3312552490470961
IMB.L,2023-09-30,IMB.L,10255000000,30958000000.0,0.3312552490470961
IMB.L,2023-12-31,IMB.L,9730000000,29491000000.0,0.3299311654403038
IMB.L,2024-03-31,IMB.L,9730000000,29491000000.0,0.3299311654403038
IMB.L,2024-06-30,IMB.L,9730000000,29491000000.0,0.3299311654403038
IMB.L,2024-09-30,IMB.L,9730000000,29491000000.0,0.3299311654403038
IMB.L,2024-12-31,IMB.L,9083000000,27826000000.0,0.3264213325666643
PERP.PA,2022-03-31,PERP.PA,9595000000,32147000000.0,0.2984726413040097
PERP.PA,2022-06-30,PERP.PA,9595000000,32147000000.0,0.2984726413040097
PERP.PA,2022-09-30,PERP.PA,11172000000,36012000000.0,0.3102299233588804
PERP.PA,2022-12-31,PERP.PA,11172000000,36012000000.0,0.3102299233588804
PERP.PA,2023-03-31,PERP.PA,11172000000,36012000000.0,0.3102299233588804
PERP.PA,2023-06-30,PERP.PA,11172000000,36012000000.0,0.3102299233588804
PERP.PA,2023-09-30,PERP.PA,11870000000,37676000000.0,0.3150546767172736
PERP.PA,2023-12-31,PERP.PA,11870000000,37676000000.0,0.3150546767172736
PERP.PA,2024-03-31,PERP.PA,11870000000,37676000000.0,0.3150546767172736
PERP.PA,2024-06-30,PERP.PA,11870000000,37676000000.0,0.3150546767172736
PERP.PA,2024-09-30,PERP.PA,13618000000,39185000000.0,0.34753094296286846
PERP.PA,2024-12-31,PERP.PA,13618000000,39185000000.0,0.34753094296286846
ESSITYb.ST,2022-03-31,ESSITYb.ST,56895000000,175050000000.0,0.32502142245072835
ESSITYb.ST,2022-06-30,ESSITYb.ST,56895000000,175050000000.0,0.32502142245072835
ESSITYb.ST,2022-09-30,ESSITYb.ST,56895000000,175050000000.0,0.32502142245072835
ESSITYb.ST,2022-12-31,ESSITYb.ST,56895000000,175050000000.0,0.32502142245072835
ESSITYb.ST,2023-03-31,ESSITYb.ST,66592000000,210600000000.0,0.31620132953466284
ESSITYb.ST,2023-06-30,ESSITYb.ST,66592000000,210600000000.0,0.31620132953466284
ESSITYb.ST,2023-09-30,ESSITYb.ST,66592000000,210600000000.0,0.31620132953466284
