Instrument,Price To Book Value Per Share (Daily Time Series Ratio),Date
OREP.PA,7.43851856746648,2024-07-21
OREP.PA,7.33460552529517,2024-07-28
OREP.PA,6.87736755933442,2024-08-04
OREP.PA,6.90804994970541,2024-08-11
OREP.PA,6.95497595850811,2024-08-18
OREP.PA,7.11831456607136,2024-08-25
OREP.PA,7.15802118890442,2024-09-01
OREP.PA,6.90895237295162,2024-09-08
OREP.PA,6.61746966442714,2024-09-15
OREP.PA,6.68695625438499,2024-09-22
OREP.PA,7.32677433594491,2024-09-29
OREP.PA,7.09936367790104,2024-10-06
OREP.PA,7.12192425905619,2024-10-13
OREP.PA,6.72666287721804,2024-10-20
OREP.PA,6.41893655026186,2024-10-27
OREP.PA,6.25379309620621,2024-11-03
OREP.PA,6.04082121010163,2024-11-10
OREP.PA,5.90545772317076,2024-11-17
OREP.PA,5.93884738328038,2024-11-24
OREP.PA,5.93162799731073,2024-12-01
OREP.PA,6.20145254792627,2024-12-08
OREP.PA,6.19694043169524,2024-12-15
OREP.PA,6.0814302561809,2024-12-22
OREP.PA,6.21769616635797,2024-12-29
OREP.PA,5.99209035480652,2025-01-05
OREP.PA,5.90906741615559,2025-01-12
OREP.PA,6.19874527818765,2025-01-19
OREP.PA,6.46947225204939,2025-01-26
BATS.L,0.997243852,2022-01-02
BATS.L,1.028801047,2022-01-09
BATS.L,1.10650836,2022-01-16
BATS.L,1.144814782,2022-01-23
BATS.L,1.154482593,2022-01-30
BATS.L,1.171446866,2022-02-06
BATS.L,1.228906499,2022-02-13
BATS.L,1.243681833,2022-02-20
BATS.L,1.220333157,2022-02-27
BATS.L,1.123290221,2022-03-06
BATS.L,1.049179813,2022-03-13
BATS.L,1.08406128,2022-03-20
BATS.L,1.128518052,2022-03-27
BATS.L,1.10321189,2022-04-03
BATS.L,1.125440276,2022-04-10
BATS.L,1.115522996,2022-04-17
BATS.L,1.142026071,2022-04-24
BATS.L,1.146300761,2022-05-01
BATS.L,1.128518052,2022-05-08
BATS.L,1.172632849,2022-05-15
