,date,volume,company,Company No
333,2021-01-31,39211,leg_immobilien,334
334,2021-01-31,145482,legal_general,335
335,2021-01-31,65805,legrand,336
336,2021-01-31,88146,leonardo,337
337,2021-01-31,2394,lifco_ab,338
338,2021-01-31,92882,linde_plc,339
339,2021-01-31,50379,lindt_spruengli,340
340,2021-01-31,188809,lloyds_banking,341
341,2021-01-31,160817,logitech,342
342,2021-01-31,1036658,london_stock_exchange,343
343,2021-01-31,6372,londonmetric_property_plc,344
344,2021-01-31,161073,lonza_group,345
345,2021-01-31,2156,lotus_bakeries_sa,346
346,2021-01-31,4471,lpp,347
347,2021-01-31,1073,lundbergs_abb_shs,348
348,2021-01-31,49816,man_group,349
349,2021-01-31,15197,marine_harvest,350
350,2021-01-31,207700,marks_spencer,351
351,2021-01-31,27059,mediobanca,352
352,2021-01-31,30864,melroseindustries,353
353,2021-01-31,438733,merck,354
354,2021-01-31,3122,merlin_properties_socimi,355
355,2021-01-31,32785,mg_plc,356
356,2021-01-31,283742,michelin,357
357,2021-01-31,7700,millicom_international_cellular_sa,358
358,2021-01-31,309550,moet_hennessy_louis_vuitton,359
359,2021-01-31,36265,moncler,360
360,2021-01-31,20018,mondi,361
361,2021-01-31,85889,mtu_aero_engines,362
362,2021-01-31,161323,muenchener_rueck,363
363,2021-01-31,0,national_grid_plc_npr,364
364,2021-01-31,47260,nel_asa,365
365,2021-01-31,43257,nemetschek,366
366,2021-01-31,29126,neste,367
367,2021-01-31,477206,nestle,368
368,2021-01-31,2588,netcompany_group_a_s,369
369,2021-01-31,22101,nexans,370
370,2021-01-31,7488,nexi_spa,371
371,2021-01-31,43320,next,372
372,2021-01-31,4081,nn,373
373,2021-01-31,364464,nokia,374
374,2021-01-31,42485,nordea_bank,375
375,2021-01-31,14096,nordic_semiconductor_asa,376
376,2021-01-31,7884,nordnet_ab_publ,377
377,2021-01-31,35956,norsk_hydro,378
378,2021-01-31,700127,novartis,379
379,2021-01-31,281196,novo_nordisk,380
380,2021-01-31,71464,novozymes,381
381,2021-01-31,75652,ocado,382
382,2021-01-31,12266,oci,383
383,2021-01-31,71316,omv,384
384,2021-01-31,112649,orange,385
385,2021-01-31,34457,orion,386
386,2021-01-31,9783,orkla,387
387,2021-01-31,7529,osb_group_plc,388
388,2021-01-31,12434,outotec,389
389,2021-01-31,20695,oxford_nanopore_technologies_limited,390
390,2021-01-31,91132,paddy_power_betfair,391
391,2021-01-31,28872,pandora,392
392,2021-01-31,1205917,partners_group,393
393,2021-01-31,118408,pearson,394
394,2021-01-31,5243,pennon,395
395,2021-01-31,76856,pernod_ricard,396
396,2021-01-31,19451,persimmon,397
397,2021-01-31,400645,philips,398
398,2021-01-31,45942,philips_lighting,399
399,2021-01-31,29161,phoenix,400
400,2021-01-31,7729,pko_bank,401
401,2021-01-31,7831,plkncnaftowy_orlen,402
402,2021-01-31,612746,porsche,403
403,2021-01-31,219706,porsche_automobil,404
404,2021-01-31,16526,poste_italiane,405
405,2021-01-31,4770,powszechny_zaklad_ubezpieczen_sa,406
406,2021-01-31,4034,primary_health_properties_plc,407
407,2021-01-31,23772,prosus_nv,408
408,2021-01-31,15708,prudential,409
409,2021-01-31,38079,prysmian,410
410,2021-01-31,33266,psp_swiss,411
411,2021-01-31,78616,publicis,412
412,2021-01-31,229935,puma,413
413,2021-01-31,206173,qiagen,414
414,2021-01-31,22473,qinetiq,415
415,2021-01-31,29774,randstad,416
416,2021-01-31,18202,rational,417
417,2021-01-31,129558,reckitt_benckiser,418
418,2021-01-31,7305,recordati,419
419,2021-01-31,5276,red_electrica,420
420,2021-01-31,80907,relx_plc,421
421,2021-01-31,17685,remy_cointreau,422
422,2021-01-31,623722,renault,423
423,2021-01-31,29404,rentokil_initial,424
424,2021-01-31,14125,reply,425
425,2021-01-31,92545,repsol,426
426,2021-01-31,9078,rexel,427
427,2021-01-31,208127,rheinmetal,428
428,2021-01-31,67250,rightmove,429
429,2021-01-31,3110,ringkj_bing_landbobank_as,430
430,2021-01-31,425928,rio_tinto,431
431,2021-01-31,717771,roche,432
432,2021-01-31,11241,rockwool_b,433
433,2021-01-31,352294,rolls_royce,434
434,2021-01-31,14293,rotork,435
435,2021-01-31,188580,royal_bank_of_scotland,436
436,2021-01-31,872449,royal_dutch_shell,437
437,2021-01-31,110160,royal_mail,438
438,2021-01-31,5999,royal_unibrew,439
439,2021-01-31,5488,rubis,440
440,2021-01-31,118335,rwe,441
441,2021-01-31,364802,ryanair,442
442,2021-01-31,259,saab_bofors_dynamics_switzerland_ltd,443
443,2021-01-31,4586,safestore_holdings_plc,444
444,2021-01-31,125086,safran,445
445,2021-01-31,66712,sage,446
446,2021-01-31,8803,salmar,447
447,2021-01-31,3372,samhallsbyggnadsbolaget_i_norden_ab,448
448,2021-01-31,12407,sampo,449
449,2021-01-31,31061,sandvik,450
450,2021-01-31,861552,sap,451
451,2021-01-31,163761,sartorius,452
452,2021-01-31,17451,sartorius_stedim_biotech,453
453,2021-01-31,13778,schindler,454
454,2021-01-31,288755,schneider_electric,455
455,2021-01-31,64764,schroders,456
456,2021-01-31,31953,scor,457
457,2021-01-31,24038,scottish_and_southern_energy_plc,458
458,2021-01-31,43338,scout24,459
459,2021-01-31,42423,seb,460
